Handle,Command,Metafield: custom.companion_size_product [product_reference],Metafield: custom.cross_sell_products [list.product_reference]
sprout-maker-700ml,UPDATE,gid://shopify/Product/REPLACE_WITH_1000ML_ID,"[""gid://shopify/Product/REPLACE_WITH_REFILL_ID_1"",""gid://shopify/Product/REPLACE_WITH_REFILL_ID_2"",""gid://shopify/Product/REPLACE_WITH_RECIPE_BOOK_ID""]"
sprout-maker-1000ml,UPDATE,gid://shopify/Product/REPLACE_WITH_700ML_ID,"[""gid://shopify/Product/REPLACE_WITH_REFILL_ID_1"",""gid://shopify/Product/REPLACE_WITH_REFILL_ID_2"",""gid://shopify/Product/REPLACE_WITH_RECIPE_BOOK_ID""]"
