Handle,Command,Template Suffix,Metafield: custom.cross_sell_products [list.product_reference]
kanji-making-kit,UPDATE,fermentation-kit,"[""gid://shopify/Product/9271677026537"",""gid://shopify/Product/9271562404073"",""gid://shopify/Product/9271676993769""]"
probiotic-achaar-making-kit,UPDATE,fermentation-kit,"[""gid://shopify/Product/9271562436841"",""gid://shopify/Product/9271676928233"",""gid://shopify/Product/9271676993769""]"
probiotic-drink-making-kit,UPDATE,fermentation-kit,"[""gid://shopify/Product/9271562436841"",""gid://shopify/Product/9271676928233"",""gid://shopify/Product/9271676993769""]"
kimchi-making-kit,UPDATE,fermentation-kit,"[""gid://shopify/Product/9271676928233"",""gid://shopify/Product/9271677026537"",""gid://shopify/Product/9271676993769""]"
vegetable-fermentation-kit-with-glass-weights,UPDATE,fermentation-kit,"[""gid://shopify/Product/9271676895465"",""gid://shopify/Product/9271677026537"",""gid://shopify/Product/9271676993769""]"
ultimate-fermentation-kit,UPDATE,fermentation-kit,"[""gid://shopify/Product/9271562436841"",""gid://shopify/Product/9271677026537"",""gid://shopify/Product/9271676928233""]"
